#	Fracture
2HPP	2 Hour PostPrandial
4WK	Four-Week Checkup
6MWT	Six Minute Walk Test
A	Allergist
A	Anaphylaxis
A&E	Accident & Emergency
A&E	Accident and Emergency
A&E	Accident & Emergency (UK)
A&O	Alert and Oriented
A-T	Ataxia-telangiectasia
A-V	ArterioVenous
A-VO2	ArterioVenous Oxygen
A.M	Alternative Medicine
A.T.S.	Anti-Tetanus Serum
A/OX	Alert and Oriented Times 3
AA	Application As
AA	Absolute Alcohol
AAA	Appropriate, Affordable, and Available
AAA	Abdominal Aortic Aneurysm
AAA	Arrest After Arrival
AAAASF	American Association for Accreditation of Ambulatory Surgery Facilities
AAC	Advisory Appointments Committee
AAD	Antibiotic-Associated Diarrhea
AAEH	Asean Association of Eye Hospitals
AAFH	Addis Ababa Fistula Hospital
AAFH	Asociacion Argentina de Farmaceuticos de Hospital
AAHA	American Animal Hospital Association
AAHC	African American Health Coalition
AAHC	American Accreditation Healthcare Commission
AAHV	Animal Avian Hospital Of The Village
AAKH	Ain Al Khaleej Hospital
AAMAP	AIDS Agency Management Assistance Project
AAMC	Anne Arundel Medical Center
AAMRO	American Association Of Medical Review Officers
AAMX	AcetoAcet M Xylidide
AANHS	Alaska Area Native Hospital Service
AANP	American Academy of Nurse Practitioners
AAPP	All Alaska Pediatric Partnership
AAPPO	American Association of Preferred Provider Organizations
AARC	Alberta Association of Rehabilitation Centres
AART	Anticipation Availability Responsiveness and Transitions
AAS	Androgenic Anabolic Steroids
AAS	Acute Abdominal Series
AASM	American Academy of Sleep Medicine
AAT	Activities As Tolerated
AATB	American Association of Tissue Banks
AATD	Association of Agencies for Treatment and Development
AATS	Air Ambulance Transfer System
AAU	Acute Assessment Unit
AAV	Adeno Associated Virus
AAWC	Armenian American Wellness Center
AAWC	Automobile Accident With Casualties
ABA	Arrived By Ambulance
ABBI	Acute Breast Biopsy Instrumentation
ABC	Active Breathing Coordinator
ABEP	Accreditation Body Evaluation Program
ABH	Adventist Bolingbrook Hospital
ABHM	American Board of Hospital Medicine
ABHR	Alcohol-Based Hand Rub
ABI	Arterial Blood Index
ABIP	Acquired Brain Injury Program
ABMC	Alexian Brothers Medical Center
ABMS	American Board of Medical Specialties
ABMT	Autologous Bone Marrow Transplantation
ABN	Advanced Beneficiary Notice
ABP	American Board of Paediatrics
ABPI	Association of the British Pharmaceutical Industry
ABPM	Ambulatory Blood Pressure Monitoring
ABPM	Ambulatory blood pressure measurement
ABPN	American Board of Professional Neuropsychology
ABS	Absorb
ABS	American Board of Surgery
ABS	Associated Biomedical Systems, Inc.
ABT	Anti-Biotic Therapy
ABUTH	Ahmadu Bello University Teaching Hospital
ABW	Adjusted body weight
ABX	AntiBiotics
AC	Air Conditioning
AC	After Class
AC	Alternative Care
ACAD	Ambulatory Care And Diagnosis
ACAD	Ambulatory Care and Diagnostic Centre
ACBT	Active Cycle of Breathing Technique
ACC	Anterior Cingulate Cortex
ACC	Anti-Coagulation Clinic
ACCI	Addenbrookes Centre For Clinical Investigation
ACDS	Australian Centre for Diabetes Strategy
ACDS	Apprenticeship for Child Development Specialists
ACE	Adverse Childhood Experiences
ACE	Alzheimer's Care and Enrichment
ACEP	Arizona Comprehensive Epilepsy Program
ACES	Autoimmune Care, Entertainment, and Support
ACFP	Anterior Cervical Fusion And Plating
ACH	Acute Care Hospital
