101	Basics of; Introduction to; First class in
3JR	Third Year Junior
3LP	Life Long Learning Program
75270	Karachi University, Karachi
800	Non-degree students
A	Advanced
A	Art
A	The Arts
A	Aakash
A&M	Texas A&M University
A&M	Agricultural & Mining
A&T	North Carolina Agricultural & Technical State University
A4U	Alliance of 4 Universities
AA	Academic Affairs
AA	Ancient Arts
AA	Advanced Auditing
AAA	Arts, Academics, and Athletics
AAA	Academics, Athletics, and Arts
AAA	Atlantean Academic Archaeologist
AAA	Academic Achievement and Advising
AAAC	Academic Affairs Advisory Committee
AAAC	Academic Achievement Assessment Committee
AAAD	Amebsa Academy of Art Desgn
AAALAC	Association for the Assessment and Accreditation of Laboratory Animal Care International
AAAS	American Association for the Advancement of Science
AAAT	Academic Affairs Administrative Team
AAAT	Academic Affairs Assessment Team
AAC	Academic Achievement Center
AAC	Asia Advisory Council
AACC	Asian American Comparative Collection
AACC	Asian American Coalition Committee
AACC	Academic Advising Coordinating Council
AACE	Afternoon Academic Challenge and Enrichment
AACG	Academic and Administrative Coordinating Group
AACG	Academic Audit Coordinating Group
AACL	Academy for Advanced and Creative Learning
AACSB	Association To Advance Collegiate Schools Of Business
AACTS	Academic Affairs Committee for Transfer Students
AACU	Association of Adventist Colleges and Universities
AACU	Association of American Colleges and Universities
AADA	American Academy of Dramatic Arts
AADS	American Association of Dental Schools
AAEI	Acogida Al Estudiante Internacional
AAET	ASEAN Academy of Engineering and Technology
AAFI	Academic Affairs Functional Improvements
AAFI	Australian Academic Friends of Israel
AAGS	Association of Anthropology Graduate Students
AAHC	Association of Academic Health Centers
AAI	Advanced Artificial Intelligence
AAIR	Australasian Association for Institutional Research
AAIS	American Academy of Independent Studies
AAIS	American Association of Italian Studies
AAIS	Africana and American Indian Studies
AALAU	Alliance of Asian Liberal Arts Universities
AALC	Arizona Andrology Laboratory Cryobank
AALL	African and Asian Languages and Literatures
AAM	Assam Academy of Mathematics
AAMB	All American Marching Band
AAMSU	All Assam Minority Students Union
AAMT	Academic Affairs Management Team
AAO	Aktions Analytische Organisation
AAOC	Analysis and Application Oriented Courses
AAOC	Academic Advising And Outreach Center
AAOC	Arkansas Academy of Computing
AAOM	Alternativna Akademska Obrazovna Mreza
AAOU	Asian Association of Open Universities
AAOU	Association of Asian Open Universities
AAOU	Asian Association of Open University
AAP	Academic Achievement Plan
AAPB	Academic Accommodations Policy Board
AAPC	Admissions and Academic Policies Committee
AAPC	Academic Advancement and Promotions Committee
AAPC	Academic Affairs Planning Committee
AAPL	Aero Acoustic Propulsion Laboratory
AAPR	Annual Academic Progress Rate
AAR	Affirmative Action Review
AAR	American Academy in Rome
AARC	Asian American Resource Center
AARC	Autism Asperger Resource Center
AARC	AeroAacoustics Research Consortium
AARC	Advanced Algorithm Research Center
AARC	Arizona Alzheimer's Research Center
AARI	Aegean Agricultural Research Institute
AARI	Alberta Agricultural Research Institute
AARINENA	Association of Agricultural Research Institutions in the Near East and North Africa
AARL	Abilene AI (Artificial Intelligence) and Robotics Laboratory
AARL	Aquatic Animal Research Laboratory
AARL	Anglo American Research Laboratory
AARP	Alternative Admission Research Project
AASA	Asian American Student Association
AASA	Atheist And Agnostic Students Association
AASCU	American Association of State Colleges and Universities
AASD	African American Studies Department
AASF	Abhigyan Abhikaushalam Student's Forum
AASG	Alaska Association of Student Governments
AASGON	Africa Asia Scholars Global Network
AASH	Associated Alumnae of the Sacred Heart
AASI	Asian American Studies Institute
AASIU	Agricultural and Aquatic Systems Information Unit
AASL	Aerospace And Autonomous Systems Laboratory
AASP	American Academy of School Psychology
AASP	Asian American Studies Program
AASP	Association of African Studies Programs
AASP	Adopt A Student Program
AASRP	African American Studies and Research Program
AASRP	African American Studies Research Program
AASRP	African American Studies Research Project
AAST	Arab Academy for Science and Technology
AASTMT	Arab Academy for Science and Technology & Maritime Transport
AASU	Armstrong Atlantic State University
AASU	Armstrong Atlantic State University's
AATD	Applied Aviation Technology Directorate
AATP	Asian American Theater Project (Stanford)
AATS	Accommodation Allowance for Tertiary Students
AATS	Association Of Athletic Training Students
AAU	Association of American Universities
AAU	Addis Ababa University
AAU	Aalborg University
AAU	Allied American University
AAU	Association of American Universites
AAU	Adekunle Ajasin University, Akungba
AAU	Academy of Art University
AAU	Association of American University
AAU	Al-Ahliyya Amman University
AAUA	American Association of University Administrators
AAUC	Ammon Applied University College
AAUCS	Australian Asian Universities’ Cooperation Scheme
AAUJ	Arab American University Jenin
AAUJ	Arab American University in Jenin
AAUP	American Association of University Professors
AAUP	Association of American University Presses
AAUW	American Association of University Women
AAVP	Associate Academic Vice President
AAVP	Academic Affairs Vice President
AAWU	Athletic Association of Western Universities
AB	Accreditation Body
AB	Activities Building
AB	Advanced Business
AB	Alpha Beta
ABA	Applied Behavior Analysis
ABA	American British Academy
ABA	Applied Behavioral Analysis
ABACUS	Association of British And Chinese University Students
ABATE	American Brotherhood Aimed Towards Education
ABBS	Arizona Biological and Biomedical Sciences
ABC	About Basic Composition
ABC	Anchorage Basic Curriculum
ABC	Academics Baseball Citizenship
ABC	Academics Business And Community
ABCC	Administrative and Bioinformatics Coordinating Center
ABCC	Advanced Biomedical Computing Center
